职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
数据分析,木仓科技运营部招聘,6k-12k,/武汉 /,经验1-3年 /,本科及以上 /,全职,"
扁平化管理+发展空间大+高于行业薪酬体系","
 职位描述
1、负责公司产品的数据分析工作。
2、协助产品，从数据角度为产品设计提供数据支撑。
3、协助运营部门，加强运营决策数据模型的完善&不同场景下的用户行为数据分析。
4、支持领导层、业务部门及外部需求方不定期的数据需求，包括异常排查、变化原因分析、趋势监测等； 
5、挖掘竞品及第三方行业报告等相关数据，定期内部分享
任职要求
1、1年数据分析相关岗位的工作经验；
2、具备较强的逻辑分析和数据分析能力，精通Excel和PowerPoint，精通SQL，熟悉python或者java其中的一种编程语言；
3、有较强的创新思维、执行力和沟通能力；
4、具有较强的归纳、逻辑思维与表达能力；
5、互联网行业数据挖掘分析经验者优先。","武汉 - 洪山区 - 关山 - 关山大道保利国际中心31楼
","木仓科技
移动互联网
B轮
150-500人
http://www.mucang.cn"
数据分析师,华云中盛招聘,8k-16k,/深圳 /,经验1-3年 /,本科及以上 /,全职,"
发展前景","
岗位职责：
1、参与客户业务的数据体系建设，梳理行业业务的相关指标；
2、深入了解行业业务，根据实际业务场景，抽象定位问题；
3、参与产品全流程工作（需求调研、需求评估、产品设计、项目管理、效果评估等），与开发紧密合作推进产品高质量迭代，持续改善产品功能及用户体验，对产品最终结果负责；
4、将机器学习、人工智能技术和其他财税科技前沿技术应用于行业数据；
5、规划产品的长期发展方向和迭代路径，保持产品拥有长期持续的核心竞争力。
    任职要求：
1、国内外本科及以上学历，数学，计算机等相关专业优先，硕士优先；
2、2年以上数据分析和产品设计经验；
3、优秀的理解沟通能力，能快速理解业务背景，并组织协调推进执行落地；
4、熟用常见数据库mysql、postgresql，精通SQL，能够自主探索业务数据表间关系，能够用python语言进行数据分析，熟练Linux、Shell者优先；
5、了解软件工程流程，对前沿的技术架构有所了解，了解微服务、机器学习、分布式数据库等相关技术；
6、熟悉1个或以上行业知名的BI软件，并有用于数据分析项目中的经验者优先；
7、具有敏锐的数据洞察力，崇尚数据说话，深信数据在驱动业务、支撑决策上的价值；
8、具备优秀的分析和解决问题的能力，善于思考，学习能力强，良好的沟通表达能力、对数据敏感，具备优秀的信息整合和分析能力，能够形成清晰的业务观点和前瞻判断，较强的责任感和团队合作意识；
9.有金融行业、财税行业数据分析经验优先。","深圳 - 福田区 - 车公庙 - 国税局或地税局
","华云中盛
数据服务,移动互联网
不需要融资
500-2000人
http://www.hua-cloud.com.cn"
数据分析师,TapTap招聘,15k-25k,/上海 /,经验1-3年 /,本科及以上 /,全职,"
迅速成长","
岗位职责：

- 能在指导下按照要求完成数据的搜集、整理、逻辑处理并按时按质产出分析报告 ；
- 能在指导下独立完成指标体系的梳理、维护 ；
- 项目管理，协同产品、数据、业务部门推进数据产品的落地；
- 能在指导下理解某个业务主题的分析逻辑，并产出相应的经营分析数据指标。

任职要求：

- 两年以上数据分析经验，有互联网行业分析经验优先 ；
- 全日制本科以上学历，数学、统计、经济专业优先 ；
- 较强的数学、统计和计算机知识，熟悉相关、回归、聚类分析、主成分分析等统计方法 ；
- 主要skill set：excel能力突出，精通SQL
- 会Python Pandas 或R 进行数据分析加分；
- 具有数据和业务的敏感性，具备良好的逻辑分析能力，能够清晰有结构层次的表达观点和想法；
- 具备良好的沟通能力，能够进行跨团队的沟通协调；","上海 - 闸北区 - 万荣路700号A3栋202
","TapTap
游戏,社交
B轮
吉比特，心动网络，飞鱼科技，网易BoBo(B轮)，吉比特，飞鱼科技，心动网络(A轮)
50-150人
http://www.taptap.com"
数据分析师,"111,Inc.招聘",18k-25k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
上市公司、薪资福利佳、完善的晋升培训体系","
岗位描述：
1、构建全面的、准确的、能反映业务特征的整体指标体系, 并基于业务监控指标体系，及时发现与定位业务问题； 
2、负责多维数据模型的规划与设计、业务数据报表需求分析、设计、落地，为业务及管理层提供决策支持； 
3、分析产品运营状况、竞品状况、活跃留存状况、访问热力图等，编写产品运营分析报告；
4、协调数据需求方和数据开发工程师，通过流程化、规范化的思路，让数据供应做到高效、准确
 岗位要求：
1、本科以上学历，热爱数据；
2、3年以上数据分析、数据产品等工作经验；参与或主导过大型数据体系或报表体系的搭建，有较好的业务抽象能力和系统设计能力；
3、具备数据挖掘与数据分析能力，有用户增长growth数据产品设计经验优先；
4、有一定的项目管理能力，能把控整个项目的节奏；
5、熟练掌握SQL、数据分析理念及工具，了解Hadoop/Hive/数据库设计经验更优；
6、具有良好的服务精神，团队协作能力，自我驱动、抗压能力强","上海 - 浦东新区 - 祖冲之路295号4F
","111,Inc.
移动互联网,电商
上市公司
500-2000人
http://www.111.com.cn"
【提前批】数据分析师(J10845),斗鱼直播招聘,10k-20k,/武汉 /,经验应届毕业生 /,硕士及以上 /,全职,"
福利待遇好，发展空间大","
工作职责:
1、基于业务监控指标体系，对运营数据进行实时监控及管理，及时发现运营异常情况，能快速定位问题；
2、通过专题分析，对业务问题进行深入分析，为公司运营决策、产品方向、营销策略提供数据支持；
3、沉淀分析思路与框架， 提炼数据产品需求，与相关团队（如技术开发团队） 协作并推动数据产品的落地；
4、与相关团队协作进行数据建模工作，推动业务部门的数据化运营 。
任职资格:
1、硕士以上学历，数学、统计、社会学等专业优先；精通数据分析、从商业角度解读数据，熟练使用SQL、R等，熟悉至少一种数据库软件，如：oracle、mysql、sql server等；
2、熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题 ；
3、良好的数据敏感度,能从海量数据提炼核心结果，有数据分析、挖掘、清洗和建模的经验 ；
4、能高效的与数据技术团队进行沟通 ，大项目的经验，有丰富的跨团队、部门的项目资源整合能力，能够独立开展研究项目。","武汉 - 洪山区 - 关山 - 光谷软件园
","斗鱼直播
文娱丨内容
上市公司
腾讯(D轮及以上)，招银国际(D轮及以上)，腾讯；凤凰资本(B轮)，红衫资本中国(A轮)
2000人以上
http://www.douyu.com"
数据分析员（校招）,流利说®QC客服部招聘,6k-7k,/上海 /,经验应届毕业生 /,本科及以上 /,全职,"
上市公司、年底双薪、完善培训、宽松氛围","

1. 负责用户体验中心各项数据系统的搭建、规划及分析，建立用户生命周期等业务核心数据模型；
2. 针对具体的数据分析类项目，负责业务数据收集整理和报表生成监控，为服务策略提供数据支持；
3. 对用户数据和行为数据等方面进行挖掘、评估和分析，解读运营数据的波动，从而发现问题，提出相应的解决方案和产品改进建议；
4. 完成数据相关的项目，包括数据提取、分析、展示，以及编制数据分析报告。

任职要求:
1. 本科及以上学历，2020 年全日制应届毕业生，统计学、数学与应用数学、金融数学等相关专业优先；
2. 熟悉常用的统计、数据库软件Excel、SPSS、SQL；
3. 熟悉互联网运营，理解互联网产品业务逻辑及相关衡量标准；
4. 耐心细致、逻辑思维能力强，有较强的执行能力。","上海 - 杨浦区 - 长阳路1687号长阳创谷
","流利说®
教育
上市公司
完成 C 轮近亿美元融资，与好未来集团达成战略合作(C轮)，完成 B 轮数千万美元融资(B轮)，完成天使轮数百万美元融资(天使轮)
2000人以上
http://www.liulishuo.com"
数据分析师,阿里文娱招聘,25k-45k,/北京 /,经验5-10年 /,本科及以上 /,全职,"
福利待遇，发展前景","

1、负责用户、内容等数据分析，基于对业务理解，搭建出可以准确反映业务运作健康状况的数据指标体系，且可以将指标体系产品化、工具化；
2、商业嗅觉灵敏，善于沟通，能够深入了解业务、挖掘业务问题和痛点，通过数据分析为业务决策、产品方向、运营策略提供数据支持，能够承担起业务增长的保驾护航任务；
3、沉淀分析思路与框架，提炼数据产品需求，提供对重点业务的数据分析&洞见，能够帮助业务给出优化建议和方案；
4、了解互联网工具、新闻资讯、分类信息聚合等行业，对行业有较清晰认知，及时提供行业动态，为业务发展提供精细到位的分析建议；
职位要求：
1.全日制本科及以上，数学、统计学、计算机专业优先；
2.从事数据/分析相关工作三年及以上，有咨询公司/投融资公司分析经验，或有互联网公司相关数据分析工作经历优先；
3.具备大数据的处理能力，掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/Python、PPT等工具，或具备快速学习上述技能的潜力；
3.良好的数据敏感度，能从海量数据提炼核心结果；有数据分析、挖掘、清洗和建模的经验；
4.熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，具备良好的商业敏感度和创新意识，快速识别商业问题和机会；
5.具备良好的抗压能力、沟通能力和团队精神，有独立开展分析研究项目能力，具备跨部门协调获取资源的能力；","北京 - 朝阳区 - 望京 - 方恒国际中心
","阿里文娱
文娱丨内容,移动互联网
上市公司
2000人以上
http://chrcmp.chinahr.com..."
数据分析师,火奴数据招聘,5k-10k,/杭州 /,经验1-3年 /,本科及以上 /,全职,"
五险一金双休日年度体检出国旅游年终奖","
1. 挖掘互联网用户数据，帮助业务线发现、分析和解决问题，建议一套完成的监控体系；
2. 数据驱动产品，为决策提供支持；
3. 负责电商业务场景的数据挖掘项目；
4. 及时响应业务团队数据提取/数据分析需求和日常报表设计的工作；


任职要求：
1. 本科以上理科类专业，计算机或统计学尤佳；一本以上2019应届优秀毕业生也可考虑；
2.熟悉数据分析，并且在校期间参与过数据挖掘实验项目者优先考虑；
3. 数据挖掘理论基础，包括回归、决策树、SVM、朴素贝叶斯、神经网络、k-means等常用算法的适用场景、优点、缺点以及弥补办法；
4.能够熟练使用matlab,R,sars,spss其中之一。
4. 具备良好的数据敏感度和业务视野，能够敏锐的捕获数据价值和产品机会；
5.具有电子商务行业工作经验。","杭州 - 西湖区 - 西溪 - 文一西路857号智慧产业创业园705
","火奴数据
企业服务
A轮
银杏谷资本(A轮)
15-50人
http://www.huonu.com"
大数据分析师,钱大妈科技发展中心招聘,15k-25k,/广州 /,经验3-5年 /,本科及以上 /,全职,"
五险一金 行业标杆 新零售 平台大","
岗位职责：
1.重点负责大数据平台的多维度数据梳理工作；
2.参与大数据平台的数据仓库建设,以及ETL工作；
3.参与大数据平台后期数据运营工作。

任职资格：
1、做事耐心,有强烈的责任心,善于沟通；
2、具有3年及以上数据仓库相关工作经验；
3、本科及以上学历，计算机、数学、统计等相关专业；
4、熟练掌握SQL，有hive sql 、spark sql、impala/presto 、Scala开发经验优先；
5、了解数据仓库相关技术，如ETL、维度建模、展现、多维分析、即席查询等工具原理与技术架构；
6、有良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验；
7、具有大数据思维，较强的沟通能力、逻辑思维能力和语言表达能力；
8、熟悉行业主流的数据仓库及应用案例，具有全程参与数据仓库并成功实施项目经验的优先；
9、有电商相关业务经验者优先考虑。","广州 - 海珠区 - 南洲 - 广州大道南1601-1603号广州创投小镇69号（1）
","钱大妈
消费生活
C轮
2000人以上
http://www.qdama.cn"
数据分析师,奥园奥买家BI部招聘,10k-15k,/广州 /,经验1-3年 /,本科及以上 /,全职,"
五险一金 员工内购 股票期权","
职位信息
1、基于对业务理解，搭建出可以准确反映业务运作健康状况的数据指标体系，且可以将指标体系产品化、工具化；
2、通过业务需求/专题分析，对业务问题进行深入分析，为运营决策、产品方向提供数据支持；
3、沉淀分析思路与框架，提炼数据产品需求，提供对重点业务的数据分析&洞见，能够帮助业务给出优化建议和方案；
4、与相关团队协作进行数据建模工作，推动业务团队的数据化运营。
5、负责专项业务的分析与预测，KPI指标的制定与分解；

岗位要求：
1、相关工作2年以上经验，数学、统计学、计算机专业优先，互联网公司或新零售公司相关数据分析工作经历优先；
2、对数据敏感，能从数据中发现问题、解决问题，并能熟练独立编写数据分析报告；
3、具备大数据的处理能力，掌握SQL等相关数据提取工具，熟练操作excel、PPT等工具，懂SPSS/R/Python者优先考虑；
4、良好的数据敏感度，能从海量数据提炼核心结果；有数据分析、挖掘、清洗和建模的经验；
5、具备良好的抗压能力、沟通能力和团队精神，有独立开展分析研究项目能力，具备跨部门协调获取资源的能力。","广州 - 番禺区 - 大石 - 万惠一路奥园集团大厦
","奥园奥买家
电子商务
不需要融资
150-500人
http://www.aoyuan.com.cn"
