职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
产品经理,中智软件招聘,9k-15k,/广州 /,经验1-3年 /,本科及以上 /,全职,"
六险一金,项目大,牛人多,绩效奖金","
岗位职责：
1. 负责软件产品的客户需求调研、分析，负责软件产品需求文档和相关文案的撰写；
2. 确定软件产品的功能、流程、用户体验方案；
3. 负责与技术人员沟通需求，确保其对需求充分理解；
4. 负责制定软件产品的版本计划，跟踪版本计划的落实情况，对版本发布进行需求和质量验证。
任职资格：
1、本科及以上学历；
2、具有两年以上产品相关的工作经验；
3、具有较强的业务和需求分析能力，具有较强的产品功能和界面设计能力，具有较好的需求文档编写能力；
4、具有较强的自学能力，具有较好的沟通能力，具有较强的团队协作精神；
5、有电子政务软件行业工作经验者优先。","广州 - 越秀区 - 解放北 - 连新路171号省科技厅大院3号楼4楼
","中智软件
其他
不需要融资
150-500人
http://www.zsoft.com.cn"
产品经理,网感至察项目部招聘,9k-14k,/南京 /,经验1-3年 /,学历不限 /,全职,"
五险一金，综合意外险，节日福利","
岗位职责：
1. 基于产品规划，结合用户需求，负责产品原型设计；
2. 制订详细的产品需求文档，以供开发、测试人员明确产品需求和进行开发、测试；
3. 跟进开发人员，确保产品功能特性和交互符合产品需求文档的要求，确保产品功能被正确、及时的交付和验收；
4. 持续进行用户访谈与数据分析等工作，推进产品的快速迭代；
5. 分析用户/市场/业务需求和动向，分析行业及竞争产品，跟踪最新发展趋势，并提交分析报告 。
6. 参与行业大数据、会话机器人等系统的架构设计、开发、部署、自动化运维和数据分析等工作。
7. 配合公司营销部门完成用户产品、方案测试工作，做好用户沟通、需求反馈等；
8. 完成相关产品/方案宣传资料的撰写、产品/系统演示等工作；
 岗位要求：
 1. 具备2年以上成熟的IT应用产品策划、设计、开发和营销推广经验，有2 B类产品经验者优先；
2. 熟悉Unix/Linux操作系统，熟悉Python,django开发；
 3. 优秀的文字撰写能力 ；较强的创意性思维和策划能力，扎实的文案功底，能独立编写营销策划和详细流程；
 4. 具有较强的沟通和协调能力，快速学习的能力，团队合作精神，敬业精神，并且愿意接受挑战和承担压力良好的敬业精神，肯吃苦，有进取心与事业心 ；
 5. 本科以上学历，计算机相关专业优先。","南京 - 秦淮区 - 光华路 - 光华路 - 南京白下高新技术产业园区中国云计算创新基地B栋4楼
","网感至察
数据服务
天使轮
公司获得江苏省双创人才计划支持；获得天泓基金等Pre-A轮投资。(A轮)，获得金科君创天使轮投资(天使轮)
15-50人
http://www.tmlsystem.com"
产品经理(主端业务),考虫网招聘,20k-40k,/北京 /,经验5-10年 /,本科及以上 /,全职,"
不打卡,每日零食,团建旅游,免费体检","
职位工作：
1、负责考虫旗下考虫网及app产品业务的需求挖掘和迭代，独立负责产品调研、策划与落地；
2、熟悉数据结构，擅长把控全链条业务模型，对商城、在线教学、督学辅学、课程产品化设计有一定认知；
3、对各类新产品或模式充满好奇心，擅长举一反三；
4、具备产品设计能力，熟悉PMF/MVP/HMW等策略，熟悉AARRR和RARRA模型的相关案例和模型，擅长数据及指标拆解，拥有对行业产品模型的敏感度；
5、愿意做些用户爱，并且能关爱到用户的事情，同时对数据敏感，拥有强大的同理心；
6、希望你至少有一定开发及产品运营相关经验，211/985院校毕业优先；
7、基础能力：【自驱力】【独立思考】【擅长需求挖掘】。

职位要求:
1、3年以上互联网产品经验；
2、善于研究用户需求，对用户体验、用户逻辑有研究；
3、善于协调开发及设计资源，推进项目进度；
4、能够在常态流程基础上打破常态优化产品；
5、一个有创造力且热衷打磨产品的你；
6、有技术、运营或交互设计经验的更优；
7、真的喜欢用户，喜欢和用户沟通，真实的沟通与数据的沟通并行。","北京 - 朝阳区 - 朝外 - 兆泰国际中心
","考虫网
教育
D轮及以上
150-500人
http://www.kaochong.com/"
产品经理,联元智能科技产品部招聘,15k-30k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
五险一金 绩效奖金 弹性工作 补充公积金","
岗位职责：
1、将云计算、大数据和AI、边缘计算等数字化技术与用能客户应用场景相结合，打造能源互联网/物联网相关的数字化增值产品。
2、与市场部同事协同，基于客户和市场调研，确定产品定位，负责产品需求分析、原型设计与功能设计，并编写需求分析说明书、软件规格说明书，产品使用说明书。
3、与市场部协同，进行产品原型和行业解决方案设计，负责用能在线监测与分析、能源管理、设备故障诊断、预测性维护、运行优化等能源互联网产品设计，含web端及APP端。
  任职要求：
1、本科以上学历，电气工程专业、测量控制专业、计算机专业、自动化专业、电子信息专业或其他相关专业。
2、三年以上产品经理工作经验，有知名互联网企业产品经理经历，或有能源/物联网/智慧城市/工业互联网等相关产品设计工作经验优先；
3、熟悉电力系统CIM模型；具有SCADA/EMS系统、配网自动化系统开发经验；具有监测平台类产品的规划、设计、开发、推广全程命周期管理能力及经验优先；具有工业领域软件系统经验者优先，熟悉工业信息化、工业自动化行业者优先。
4、熟练使用Xmind/Visio/PPT等工具，熟练使用Axure等产品原型设计工具；熟练掌握界面原型和交互设计，擅长从用户角度考虑问题，对用户需求有较好识别判断能力。
5、具备优秀的沟通能力，协调能力，市场洞察力和商业敏感度，能够和开发团队、销售团队、数据团队进行默契的配合。","上海 - 普陀区 - 曹杨 - 大华路88弄15号
","联元智能科技
移动互联网,数据服务
A轮
50-150人
http://enesource.com"
产品经理,云栖城市大脑科技招聘,10k-20k,/杭州 /,经验3-5年 /,本科及以上 /,全职,"
国企、项目前景好、工作氛围好","
职责描述：
1、精通敏捷开发模式，有按时交付的理念和意识，了解开发技术流程。负责产品的全生命周期，包括从规划到产品发布的全流程；
2、对推动政府数字化转型事业有热情，熟悉政府侧工作流程，利用专业推进工作进度，并可独立与客户进行沟通、对接；
3、根据行业内部和客户业务流程，来寻找客户业务提升的关键点，同时输出整体解决方案；
4、理解技术和市场的发展趋势，为产品设计简单优雅的流程和体验；
5、参与设计评审，制定标准体系，与其它设计师一起不断提高设计质量；
6、与相关部门紧密互动，协调处理解决项目推进过程中的障碍问题。

任职要求：
1、全日制本科及以上学历，3年以上互联网产品相关经验；
2、有“互联网+政务”相关工作经验者优先；
3、用户导向，卓越的产品感觉和用户感觉，深刻的用户分析能力；
4、丰富的独立产品设计经验。掌握Axure、mindmanager、5、Visio等软件知识、熟悉互联网领域产品设计、开发、测试和运营流程，对用户需求敏感；
6、逻辑清晰，善于沟通，有出色的学习、分析能力和洞察力；
7、有良好的团队协作能力；具备良好的资源整合能力、沟通协调能力和书面报告能力，具备独立解决问题的能力和较强的市场分析能力，对产品和数据运营敏感，思维清晰而有条理，能承受较大的工作压力。","杭州 - 下城区 - 天水 - 体育场路178号浙报传媒大厦
","云栖城市大脑科技
移动互联网,人工智能
不需要融资
50-150人
https://www.lagou.com/gon..."
产品经理（电商方向）急聘,广州棒谷科技股份有限公司招聘,15k-20k,/广州 /,经验3-5年 /,大专及以上 /,全职,"
五险一金/绩效奖金/全勤奖/创新奖","
产品经理（电商方向）
【岗位职责】（务必要求电商B2C前端主流程的工作经验）
1、负责PC端/移动端电商平台功能设计，流程设计，确保设计符合用户体验规范
2、与业务部门紧密合作，挖掘与分析用户需求和业务需求
3、参与移动端/PC端电商平台产品提案（含市场需求、竞争对手分析跟踪、产品运营建议等），编写产品需求文档、产品原型设计并组织评审
4、与UED、开发、运营、推广部门紧密协作，把握好产品迭代节奏，确保项目按时交付上线
5、负责产品上线以后的迭代及运营支持：BUG跟踪，收集改进意见，对产品迭代和改进提出可行性方案，支持产品运营
【岗位要求】
1、本科以上学历，3年以上互联网产品设计经验，有电商相关经验优先，有从0到1产品经验优先
2、熟悉电商平台产品设计、开发流程，熟悉B2C/B2B行业或其互联网产品特性，了解国外电商网站设计风格与运营模式者尤佳
3、具备良好的沟通、协调、执行能力，拥有强烈的责任心和团队协作精神、具有开拓和创新精神
4、有较强的逻辑思维和数据分析能力，能够依据产品的数据表现，持续的对产品进行迭代优化","广州 - 白云区 - 同德 - 聚源街50号欣凯科创园3号楼2楼
","广州棒谷科技股份有限公司
电商
不需要融资
2000人以上
http://www.banggood.com"
产品经理,掌上先机-旺店通ERP招聘,13k-25k,/北京 /,经验不限 /,本科及以上 /,全职,"
股票期权，年底双薪，每年两次调薪","
岗位职责：
1. 负责ERP/WMS产品线的产品规划设计工作；
2. 负责项目推进，包括启动、评审、排期、验收等工作；
3. 客户的需求调研、产品设计、业务测试、上线实施；
4. 根据不同的客户能够快速给出客户系统解决方案；
5. 数据驱动，对功能效果进行量化和分析，推动产品迭代。

岗位要求：
1.本科及以上学历，2年及以上相关领域工作经验，供应链、物流仓储相关专业优先；
2.具有优秀的项目管理能力、出色的沟通能力；
3.逻辑思维强，有较强的分析能力；
4.执行力强，能够承受一定的工作压力；
5.熟悉标准的ERP、WMS：用友、科捷、富勒、MA等；
6.熟悉3C、服装、快消品、家居等行业优先。","北京 - 海淀区 - 西直门北大街54号伊泰大厦5层
","掌上先机-旺店通ERP
移动互联网,电商
A轮
500-2000人
http://www.wangdian.cn"
产品经理,丝路天地招聘,15k-25k,/深圳 /,经验1-3年 /,本科及以上 /,全职,"
周末双休,五险一金","
一、 岗位职责：
1、收集整理市场、销售、运营等产品需求，做好产品的需求管理；
2、对行业有敏锐、清晰的认知，能出色的完成好市场调研和竞品分析工作，把握产品的发展方向；
3、负责门票相关业务的产品规划；
4、能够很好的协调设计、研发、测试推动项目上线；
5、具有很好的数据分析能力，能通过数据驱动产品升级，不断改善用户体验。

二、任职要求：

1、本科及以上学历，2-3年景点门票产品设计经验或2年以上C端旅游电商相关产品经验；
2、出色的执行力和产品设计能力，能快速将用户需求转化为原型设计；
3、具有良好的用户思维、创新意识，能够充分考虑产品的使用场景；
4、良好的沟通、表达能力，熟悉产品研发流程，能够帮助开发、测试团队充分理解产品需求；
5、具有一定的项目管理能力，及时推动项目上线；
6、熟悉使用各类产品工具软件，如Axure 、sketch、Visio、XMind等；
7、有完美主义、匠人精神更佳。
注：面试时需带需相关作品（比如：原型、产品文档等）","深圳 - 南山区 - 前海 - 阳光科创中心B座2703
","丝路天地
旅游
A轮
50-150人
http://www.matafy.com"
产品经理（内容社区方向）,房极客招聘,13k-26k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
发展空间大,薪酬提升快,股票期权","
岗位职责：

- 负责「小鹿选房」的产品策划，深入参与市场与用户分析、功能设计、用户体验优化等工作；
- 深入思考以PGC和PUGC为基础的产品用户需求，并能明确规划落地；
- 对核心数据进行跟进，定期分析效果并从中提炼优化需求；
- 研究垂直类社区产品的发展趋势、竞品分析并制定可行的产品路线设计

任职要求：
- 本科或以上学历，两年以上产品策划工作经验；
- 了解房地产行业，良好的用户分析能力及逻辑思维能力；
- 熟练掌握流行产品原型绘制工具，原型图保真度高；","深圳 - 南山区 - 后海总部基地海信南方大厦18层
","房极客
移动互联网,企业服务
B轮
150-500人
http://www.fanggeek.com"
产品经理,Mobvista投放业务部招聘,15k-25k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
上市公司；15+薪资；包三餐；福利好；","
工作职责：
1、负责公司移动广告平台的全过程管理，包括收集分析用户需求、进行市场和竞争分析、制定产品规划、设计产品功能等
2、负责具体项目及产品功能的设计，通过数据分析或商业敏锐观察不断推进产品优化，能够撰写高质量的需求文档，并协调/推动研发团队按时完成产品开发、高质量上线
3、负责互联网广告领域的市场分析、产品调研、同类产品研究、结合公司的发展策略，提出广告平台长期发展计划
4、负责在项目推进过程中的跨部门协调沟通工作，能够协调各资源以确保产品顺利发展
5、对业务运营给予支持，通过数据分析定位业务发展的问题，挖掘业务发展潜力

任职要求：
1、3年以上工作经验，一年以上DSP平台策划经验；
2、精通Ad Exchange、Trading Desk、RTB、DSP等投放业务，对互联网广告投放系统架构设计、报表系统有较深理解和认识；
3、熟悉互联网广告数字化精准营销，对人群数据库、实时竞价的智能算法以及广告定向投放技术有较强的分析能力；
4、具备独立撰写产品PRD文档的能力，熟练掌握产品需求分析、设计的技巧，对交互设计过程有深入的了解，有成功的产品策划案例；
5、具有DSP或DMP从业背景者优先考虑；","北京 - 朝阳区 - 望京金辉大厦31层
","Mobvista
广告营销
上市公司
网易(A轮)，芒果文创基金、广州越秀产业旗下投资基金、上海敦鸿资产管理旗下基金(上市公司)，上海东方传媒集团、湖南广电集团(B轮)
500-2000人
http://www.mobvista.com"
