职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
数据产品经理,第一卫品牌部招聘,15k-25k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
六险一金 房补 节日福利","
岗位职责 ：
1、 负责搭建业务线数据指标体系，与研发团队合作完成数据服务产品平台的搭建，同时负责数据埋点方案的设计，保证数据的完整性和准确性； 
2、 深入了解业务场景，协助各部门梳理业务数据，为各团队提供数据支持；
3、 利用内外部数据，构建数据体系并挖掘用户需求，通过分析提供解决方案和数据产品；
4、 负责梳理数据逻辑并对数据平台产品、应用、和分析产品等数据服务进行设计和落地；
5、 对数据产品进行持续优化和迭代，通过数据服务持续为业务赋能；
6、 具备持续的创新能力，并结合现有大数据、人工智能技术，进行全局性和前瞻性的产品思考、规划、设计及上线；
任职要求：
1、 本科及以上学历，3年以上产品策划相关工作经验或互联网数据分析/数据挖掘相关经验；
2、 熟练运营SQL等数据分析工具及语言，有清晰的思路和数据建模方法论，对互联网数据产品发展有一定了解；
3、 有一定的项目管理经验，能把控节奏，具有良好的沟通协调及时间管控技巧和能力； 
4、 对数据敏感，有独立完整的数据分析经验，能快速发掘业务和数据的联系； 
5、 对用户有深刻洞察，能站在用户角度思考； 
6、 善于业务流程梳理、交互设计、数据分析、竞品分析等 ；
7、 熟练使用Axure等产品设计工具，熟悉敏捷开发 (Agile SCRUM) ，有技术背景优先考虑。","深圳 - 龙华新区 - 大浪华兴路19号龙泉科技园C区1栋4楼
","第一卫
电商
未融资
500-2000人
http://www.divi.cn/"
大数据产品经理,泛鹏天地招聘,15k-30k,/北京 /,经验5-10年 /,本科及以上 /,全职,"
工作氛围好！","
1.依据公司的总体战略和产品规划，完成公司大数据平台的详细产品需求文档的编写；
2.大数据相关产品和工具的研发，基于分布式数据存储和计算平台进行领域大数据工具的产品设计，包括数据采集工具、数据治理工具和相关数据分析工具等；
3.支撑大数据产品和工具在领域项目中的落地，针对应用需求进行场景设计和工具提供；
4.对产品和工具负责，协调产品各协作方，推进技术团队完成产品技术方案和计划的落地实施，确保产品的开发进度和质量，保证产品功能顺利发布；
任职要求
1.国家统招大学本科及以上学历，有2年以上大数据相关产品经验；
2.熟悉大数据采集、治理和分析产品应用场景和工作原理，有过类似产品设计背景优先；
3.熟悉axure等原型开发工具；
4.学习能力强，良好的团队合作能力。
  业务团队：云计算事业部。整合数据中心产品、网络产品、云产品、安全产品、IT服务产品等，为政务、医疗、教育及其他行业提供云网一体化解决方案，多种云网互联场景、多云组网方案、多云管理方案，为客户提供最佳性价比、智能、快捷的解决方案。
团队成员：均来自一流院校、大型互联网企业；
招聘人员：看重学历背景和工作经验匹配度！！","北京 - 东城区 - 安定门 - 雍和宫地铁
","泛鹏天地
企业服务,金融
不需要融资
500-2000人
http://www.vprisk.com/"
大数据产品经理,兴海物联研发中心招聘,15k-20k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
广阔的职业发展空间，提供向业务转型机会","
岗位职责
1、大数据场景分析案例调研；行业和市场的调研及分享；
2、分析物联平台智慧生活应用业务场景，沟通需求，提出数据分析产品化思路，进行产品规划，管理产品迭代；
3、制定产品运营策略，组织进行产品推广和宣传，整理产品文档；
4、评估对接可视化工具合作方，规划数据产品与其他平台的对接；
---
任职资格
1、本科以上学历，3年以上数据产品类工作经验；
2、有大数据产品设计或分析经验，能够独自承担产品规划工作优先；
3、沟通能力强、有团队合作精神，具备项目管理经验优先；
4、对物联网智慧生活建设有认同感，对大数据价值挖掘有兴趣，有市场和产品视野优先；
5、统计学、计算机等相关专业优先；
6、具有数据分析师CDA、CPAD证书者优先。
---
其他说明
1.岗位归属于研发中心创新产品部，与AI团队和大数据团队一起工作，公司有丰富资源可供撬动；
2.具有工作自主权，领导层开放包容，可以发挥个人创造性；

欢迎有想法有兴趣的伙伴加入我们，共同在智慧生活场景实现的洪流中实现价值。","深圳 - 南山区 - 豪威科技大厦
","兴海物联
其他,移动互联网
不需要融资
150-500人
http://www.lagou.com/gong..."
数据产品经理,东方福利网招聘,15k-28k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
年终奖 五险一金","
岗位目的：
根据公司规划，深度挖掘业务团队需求，熟悉业务逻辑，协助模型团队产品迭代、上线，制定项目计划、协调各方资源；
配合运营、开发人员和算法工程师完成模型的上线运行，并进行模型的监控、维护和调整。

1. 负责公司数据分析系统产品的管理，收集和挖掘各业务线的数据需求，进行需求分析、管理和设计；
2. 负责产品研究领域，包括行业需求调研、竞品、合作伙伴调研，提出产品创意，并进行可行性分析；
3. 对现有数据资源进行数据提取、整理和挖掘，构建业务核心的数据指标体系，建立合适的分析模型对业务问题进行分析；
4. 关注大数据应用相关方向的前沿研究，并将相关数据结合产品特点，设计数据个性化产品及可视化产品，支持各类用户对大数据的洞察；
5. 将多渠道的服务数据打通、整理和深度挖掘，通过搭建监控和报表，自动监控产品效果
任职要求：
1、2年以上大数据产品工作经验，如报表平台、指标体系、精准营销、用户行为、搜索服务、BI，数据仓库，数据可视化，数据化运营等；
2、 具有电商数据、数据挖掘背景者优先；
3、能够独立承担产品规划工作
4、具备良好的沟通协调与执行推动能力、团队合作精神及一定抗压能力","上海 - 长宁区 - 长宁来福士T1办公楼25层
","东方福利网
企业服务
不需要融资
500-2000人
http://www.lagou.com/gong..."
数据产品经理,牛咖招聘,15k-30k,/上海 /,经验1-3年 /,本科及以上 /,全职,"
领导逗比,氛围欢乐,扁平结构,绩效奖金","
岗位要求：

1、负责产品业务数据工作，负责业务数据体系建设

2、管理数据埋点上报需求，维护数据埋点信息，保障数据上报准确性

3、负责建立和完善业务数据报表体系，并提供相关数据支持

4、监测业务关键指标，通过数据分析发现问题，推动产品功能改善和运营效率提升；

5、定期输出数据报告，包括产品功能分析、用户增长研究、活动效果评估等，为产品迭代和运营策略提供数据决策支持

岗位职责：

1、熟悉数据建模知识、数据挖掘理论，熟练掌握数据分析体系架构、方法；

2、精通SQL等数据查询语言。至少熟练使用一门统计软件，如spss、python等，熟练操作excel、PPT；

3、具有较强的商业、数据和业务的敏感性，具备良好的逻辑分析能力，能够系统性的思考和分析问题，同时具有较好的分析总结能力和数据报告呈现能力； 

4、具备良好的沟通能力，能够进行跨团队的沟通协调。

5、本科以上学历，3年以上经验互联网产品数据分析经验；计算机、统计学、数学相关背景优先；研究生及以上学历优先。","上海 - 普陀区 - 怒江北路399号新曹杨科技大厦10C
","牛咖
移动互联网,社交
A轮
50-150人
http://uki.neoclub.cn"
大数据产品经理/数据分析,加油宝产品部招聘,14k-28k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
数据分析 数据产品经理","
岗位描述    
1、负责加油宝大数据相关产品的规划、设计和项目落地； 
2、负责理财产品、电商产品的数据平台搭建和数据分析体系构建 ；
3、关注理财、电商相关业务的数据分析，为业务的的发展提供可靠的数据分析支持和可视化数据平台呈现；
4、定期输出专项数据分析，为业务规划提供数据依据；
5、组织和推动UED、开发、测试等团队，按计划完成产品项目实施。    
  岗位要求    
1、本科及以上学历，2年以上互联网数据分析方向经验，有敏锐的数据意识和数据处理经验；
2、有数据分析平台搭建经验，逻辑思维强，有大型企业数据分析和BI体系搭建经验者优先；
3、有很强的产品owner意识，良好的自我管理能力、环境适应能力和执行力，能较大压力下保持工作激情； 
4、有优秀的沟通和团队合作能力；具备良好的组织、协调、沟通能力，善于调动各个相关团队的积极性； 
5、有理财产品/电商类产品设计、策划经验者优先。","深圳 - 南山区 - 前海 - 桃园路田厦国际中心A座3706
","加油宝
金融
不需要融资
150-500人
http://www.jyblife.com"
大数据产品经理,海致招聘,18k-35k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
弹性工时、扁平化管理、丰厚的福利待遇","
岗位职责：
1、规划公司大数据产品工作，包括规划产品发展方向、评估需求可行性和优先级等
2、能够深入了解公司业务，把控自己所负责方向的产品质量，包括指标全面性、正确性，以及产品易用性，保证产品优质快速交付，把 BI 数据分析平台做大做强。
3、负责公司各业务线数据运营后台的报表功能设计（包括指标定义、指标计算方法、报表展示样式等），并将其抽象设计为通用化的产品能力。
4、设计数据处理规范，对业务数据进行深入分析或预测，从而指导业务优化
5、负责与数据分析相关的其他产品工作

 

职位要求：
1、正规全日制本科及以上学历，数学、统计学、计算机、通信工程等理工科专业
2、三年及以上的数据分析或数据后台设计相关经验，有大数据后台建设分析经验优先考虑
3、担任过团队核心成员
4、优秀的学习能力和对数据分析强烈的热情，相信数据改变世界
5、优秀的逻辑思维能力、沟通和协调能力","北京 - 海淀区 - 学院路 - 北京市海淀区学院路甲5号768创意园B南8号门
","海致
移动互联网,企业服务
C轮
君联资本领投；IDG资本，晨兴资本及金融数据服务企业万得资讯跟投(C轮)
150-500人
http://www.haizhi.com/"
数据产品经理,威斯科技产品研发部招聘,25k-35k,/杭州 /,经验5-10年 /,本科及以上 /,全职,"
团队大牛多","
  1、深度理解业务场景，提炼业务数据分析体系和数据价值驱动点，构建数据驱动产品体系，进行数据产品的抽象、沉淀与整合，提供数据产品化解决方案，并执行落地推进；
  2、基于公司战略方向，挖掘市场和业务部门的需求，通过数据发现业务发展的问题与机会，辅助业务决策；
  3、对数据产品生命周期负责，制定所负责数据产品的后续规划。
任职要求：
  1、3年以上数据产品经验，具备独立产品规划及落地能力；
  2、数据敏感度强，具备较强数据分析能力，熟悉电商、O2O等相关行业中的数据分析框架方法、数据价值应用，了解主流数据产品形态；
  3、有一定数据驱动业务经验和成功案例；
  4、有很强的产品owner意识，良好的自我管理能力、环境适应能力和执行力，能较大压力下保持工作激情。","杭州 - 西湖区 - 海创园问一西路998
","威斯科技
移动互联网
未融资
50-150人"
数据产品经理,车好多集团招聘,20k-40k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
福利待遇、发展前景","
岗位职责：
1.负责瓜子金融数据产品的规划，包括业务调研、需求分析、产品定位、产品架构、模型算法及详细功能设计；
2.负责规划数据在业务场景的应用，能够使产品对业务起到运营指导和建议的作用；
3.跟进产品整个生命周期，协调资源能按预期上线，以及后期运营产品，推动迭代优化；
4.可以独立思考，能够完成上级交代的任务。
任职资格：
1.本科及以上学历，有大数据从业经验优先；
2.3年及以上工作经验，至少两年以上从事大数据产品相关或者互联网行业相关的工作经验；
3.具有独立的产品设计风格，有丰富的产品经验包括需求分析、原型设计、PRD撰写、运营统计;
4.对数据有敏感性，能敏锐洞悉数据变化，具有创新意识;
5.富有激情、责任心和团队合作精神，执行力强
6.数学、应用数学、统计学、信息材料等专业全日制本科以上学历。","北京 - 朝阳区 - 望京 - 将台路甲2号诺金中心wework
","车好多集团
消费生活
D轮及以上
H CAPITAL、招银电信基金、首钢基金、红杉资本、经纬创投、蓝驰创投等(B轮)，红杉资本、光信资本，山行资本、微光创投、风云天使基金、诺伟其投资、经纬中国等(A轮)
2000人以上
http://www.guazi.com"
数据产品经理,嘀嗒出行技术研发部招聘,10k-18k,/北京 /,经验1-3年 /,本科及以上 /,全职,"
数据可视化,大数据应用","
岗位职责：
 •  负责大数据应用相关的产品设计；
 •  沟通和收集数据需求，设计和推动相关产品实现；

任职要求：
 •  对数据敏感，有一定的数据统计分析能力
 •  喜欢用图表解释数据，对数据可视化有比较强烈的兴趣
 •  逻辑性强，对软件程序设计和算法有一定的了解
 •  沟通能力强，有较强的口头和书面表达能力
 •  本科以上学历，计算机或数学等相关专业毕业
 •  热爱出行行业，相信通过技术可以改变人们的出行方式","北京 - 朝阳区 - 创远路36号院朝来科技园14号楼5层
","嘀嗒出行
汽车丨出行
D轮及以上
崇德基金 挚信资本 IDG 易车网(C轮)，易车(B轮)，IDG(A轮)
150-500人
http://www.didachuxing.co..."
