,职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
10,0322RA-NLP/知识图谱算法工...,平安产险产险总部科技中心创新智能应用团队招聘,15k-30k,/深圳 /,经验1-3年 /,硕士及以上 /,全职,"
大平台","
工作职责 :
参与对话机器人相关算法模块研发
研发方向包括但不限于语言理解，知识图谱，语义匹配，相关性排序，对话管理，推荐系统，离线挖掘等等
参与对话机器人相关算法预研和难点攻克，提升算法模块的效率效果
技术创新，通过技术进步提升机器人能力
任职资格 :
硕士以上学历，211、985及海外院校优先，特别优秀的本科生酌情考虑
较强的编程能力，熟练使用Python/Java
在语言理解，知识图谱，语义匹配，相关性排序，对话管理，推荐系统，离线挖掘等某一方面有较深厚的积累
机器学习理论基础扎实，有NLP，搜索，推荐，深度学习背景优先
在对话机器人领域有研发经验者优先
有ACL、EMNLP、AAAI、IJCAI等顶会论文者优先","深圳 - 福田区 - 益田路5033号平安金融中心
","平安产险
金融
上市公司
2000人以上
http://property.pingan.com"
11,自然语言处理研究员 [NLP],DMAI智能科技招聘,30k-60k,/广州 /,经验3-5年 /,硕士及以上 /,全职,"
快速发展，团队大牛，资本青睐","
职责描述
负责自然语言处理方向的算法研究、产品开发和性能提升，涉及的问题包括但不限于自然语言理解、自然语言生成、实体识别、关系提取、机器翻译、自由问答、对话系统、自动摘要等。
负责自然语言处理基础工具研发，包括命名实体识别、词性标注、语义分析、情感分析、文本摘要、主题发现、文本相似度等；
负责领域相关的语料库的收集以及知识图谱的构建。
紧跟业界最新自然语言处理技术动态，深入研发自然语言处理相关的算法，参与相关产品系统的研发，如自由问答和智能聊天系统。
任职要求
硕士及以上学历。计算机、数学、通信等相关专业，有自然语言处理项目经验。
熟练掌握自然语言处理，信息检索和机器学习的基本方法。
较强的算法实现能力，熟练掌握 C/C++/Python/Matlab/Shell编程。
熟悉至少一种深度学习框架：PyTorch、Tensorflow、Keras、Caffe/2、MxNet。
熟悉自然语言处理领域的最新研究成果，公开数据集，和相关的开源系统。
较强的沟通表达能力，有很好的口头表达能力和出色的文档写作能力，善于深入浅出地表达和解释复杂的事物。
较强的自学能力和独立思考能力，善于思考和表达自己的想法；同时又具备良好的团队合作精神；
优先考虑
有以下经验者优先考虑：
在业内顶级会议和期刊以第一作者（或者除导师外第一作者）发表论文（如：ACL/NAACL/EMNLP/NIPS/AAAI等）
有较强的学术比赛经验或者在重要数据集的Leaderboard上排名靠前，比如SQuAD等学术数据集，Kaggle等国内外商业比赛。
有较丰富的相关经验，如有一年以上在BAT或人工智能知名创业公司进行自然语言处理算法或工程相关的工作经验。","广州 - 南沙区 - 香江国际金融中心
","DMAI智能科技
移动互联网
A轮
150-500人
https://www.dm-ai.cn/"
12,算法工程师-小爱-自然语言...,小米人工智能与云平台招聘,25k-50k,/北京 /,经验不限 /,硕士及以上 /,全职,"
五险一金、弹性工作、双休、团队氛围好","
岗位职责：
1、负责NLP Tagging/Parsing解决方案构建；
2、负责NLP底层机器学习和深度学习解决方案构建；
3、负责NLP解决方案和业务场景的对接；
4、负责NLP前沿技术探索和落地。

要求：
1、计算机相关专业，本科以上学历；
2、掌握NLP，机器学习或深度学习基本理论知识；
3、扎实的数据结构和算法功底，编程竞赛获奖者及开源社区贡献者优先；
4、具有良好的分析问题和解决问题能力，在NLP相关顶级会议或者刊物发表论文者优先。","北京 - 海淀区 - 清河 - 安宁庄东路72号科利源大厦
","小米
硬件
D轮及以上
2000人以上
http://www.mi.com"
13,算法工程师-NLP,字节跳动招聘,20k-30k,/北京 /,经验应届毕业生 /,本科及以上 /,全职,"
扁平管理，职业大牛，晋升空间","
职位职责：
1、通过结构化或者半结构化的数据，结合数据挖掘的方法构建知识图谱；
2、依据知识图谱构建应用，包括知识的查询和推理，基于知识库的问答等；
3、内容质量策略的设计与开发，解决诸如低俗、标题党、题文不符、谣言黑稿等问题；
4、NLP算法平台的设计与开发，服务产品、运营以及其它业务方应用NLP技术；

职位要求：
1、2019届本科及以上学历应届毕业生，计算机、机器学习和模式识别相关专业；
2、掌握自然语言处理、信息检索、深度学习理论，实现过相关算法或有相关应用；
3、掌握Entity Linking, Relation Extraction以及图谱相关算法；
4、具备解决大数据集且样本不均衡的文本分类/情感分析的项目经验；
5、具有深度学习(CNN/RNN)、聚类、Topic Model、序列标注等算法实际应用经验；
6、责任心强，积极主动，有良好的沟通能力和团队合作能力；","北京 - 海淀区 - 北三环西路43号中航广场1号楼（矮楼）
","字节跳动
文娱丨内容
C轮
2000人以上
http://www.bytedance.com"
14,NLP自然语言处理工程师,布本智能研发部招聘,15k-30k,/北京 /,经验1-3年 /,本科及以上 /,全职,"
待遇优厚,温馨团建,生日会,氛围活跃轻松","
工作职责：
1. 负责文本内容推荐业务中NLP算法的研发，提升现有业务效果；
2. 负责实现人机对话、自动问答等方向算法开发；
3. 负责内容包括但不局限于：信息提取、主题分类、语义理解、知识图谱等；
任职条件：
1. 计算机/软件/统计/数学等相关专业本科及其以上学历；
2.三年以上NLP相关工作经验；
3. 基础扎实，逻辑清晰，有较强的思考能力和解决问题的能力；
4. 熟悉知识图谱、NLP/NLU、人机会话等相关算法及实现原理，有相关工作经验或者实验室经验优先；
5. 良好的文字和语言沟通表达能力，有良好的团队合作精神；","北京 - 朝阳区 - 望京 - 望京利泽中园二区203号洛娃大厦A座九层1908室
","布本智能
数据服务
A轮
50-150人
http://botbrain.ai"
15,NLP自然语言工程师,Amino招聘,30k-60k,/上海 /,经验1-3年 /,硕士及以上 /,全职,"
国际交流,团队牛人多,弹性工作,期权激励","
岗位职责：
1.     新闻、论坛、博客类文本的清洗、分析和处理
2.     与公司内机器学习、数据平台、编辑团队合作，从海量文本中发掘对产品最有价值的信息
3.     调研业界最新进展，根据不同场景和业务需求进行技术选型
4.     设计搭建 NLP 任务所需数据标注和评估工具
  任职要求：
1.     优秀的编码能力，扎实的数据结构和算法功底
2.     根据业务需求独立设计和实现系统模块
3.     1年以上 NLP 相关工作从业经历
4.     大规模英语语料分析处理经验
5.     熟悉文本内容分析相关的经典问题和算法：关键词提取、新词发现、文本分类、无监督聚类、文本相似度等
6.     熟悉 Java 或 Python 语言及常用 NLP 类库工具
7.     加分项：
a)      熟悉深度学习技术在NLP领域的理论及进展：Word2Vec, CNN, RNN, Seq2Seq等
b)     涉及过信息流产品、不良内容审核、情感分析等领域相关工作
c)      计算机相关专业硕士及以上学历","上海 - 静安区 - 静安寺 - 800秀
","Amino
移动互联网,社交
C轮
Google Venture(C轮)， Venrock(C轮)，Union Square Ventures(C轮)，etc.(C轮)，Google Ventures(B轮)
50-150人
http://www.aminoapps.com"
16,自然语言处理工程师-全局搜索,小米人工智能与云平台招聘,20k-40k,/北京 /,经验1-3年 /,硕士及以上 /,全职,"
五险一金、弹性工作、双休、团队氛围好","
岗位职责：
1. 基于小米互联网生态，为搜索团队提供NLP相关技术支撑；
2.开展自然语言理解、知识图谱推荐、Query查询分析等研究开发工作；
3. 阅读并跟踪最新研究成果，并应用于诸如新闻事件脉络跟踪、查询词推荐、搜索结果文本特征处理等工作。

岗位要求：
1. 计算机相关专业硕士及以上学历，1年以上工作经验；
2. 精通C++、Java至少一门编程语言，熟悉Python、Shell等脚本语言，熟练使用Linux开发环境；
3.掌握自然语言处理相关技术，深入理解机器学习算法，有深度学习经验者优先；
4. 熟悉Hadoop、Spark等海量数据处理技术，有相关经验者优先；
5. 较强的分析和解决问题能力，自我驱动能力强，良好的团队意识。","北京 - 海淀区 - 清河 - 安宁庄东路72号科利源大厦
","小米
硬件
D轮及以上
2000人以上
http://www.mi.com"
17,自然语言处理研发工程师,达西技术部招聘,18k-35k,/杭州 /,经验1-3年 /,本科及以上 /,全职,"
晋升空间,需求驱动,五险一金,双休","

利用自然语言处理和机器学习算法对海量文本数据进行分析，包括文本挖掘、情感分析、语义理解等；
不断完善和优化算法，解决实际问题；
跟踪自然语言处理的前沿技术和业界先进应用

职位要求：
 计算机、数学、统计学或相关专业，本科以上学历；
优秀的编程能力，精通Java语言（必须)，有Hadoop MapReduce、Hive等大数据开发经验；
1年以上自然语言处理或机器学习经验，熟悉常用的自然语言处理和机器学习算法；
有较好的逻辑分析和数据分析能力，解决问题能力强；
对自然语言处理、人工智能等具有浓厚的兴趣

您将共事的，是一群勇于拼搏的年轻人。
您将加入的，是一个积极向上的团队。

我们会为您提供： 
五险一金和年终奖金， 
法定假日和带薪年假， 
节日福利和定期体检， 
员工旅游和团建活动。 

只要你三观端正人品好，才华横溢能力棒，
那么，我们需要你！","杭州 - 滨江区 - 滨盛路1508号海亮大厦1505
","达西
电商,企业服务
不需要融资
50-150人
www.topchitu.com"
18,1111MK-自然语言处理工程师...,平安科技平安科技南京共享开发中心招聘,12k-22k,/南京 /,经验1-3年 /,硕士及以上 /,全职,"
五险一金,绩效奖金,带薪年假,定期体检","
工作职责
1、 研发NLP基础词、句、篇章语法与语义分析算法，包括但不限于分词、词性标注、命名实体识别、依存分析、语义角色标注、情感分析、主题模型等；
2、 运用NLP与机器学习算法开发文本挖掘、信息抽取、预测分析、阅读理解等高级功能；
3、 运用NLP与机器学习算法进行保险领域相关项目开发，如对话系统、产品推荐、、智能投资、知识图谱等，并根据不同的产品属性进行算法的优化；
4、 及时跟踪了解NLP以及智能问答、知识图谱应用领域的技术动态与热点，提升集团相关产品与服务的竞争力。
任职要求
1、硕士及以上学历，计算机、信息、应用数学等相关专业；
2、两年以上NLP算法相关工作经验，在机器学习、数据挖掘、统计学方向拥有扎实的理论基础；
3、熟悉业界主流的NLP算法工具，能基于此类工具进行算法再开发与调优；
4、具备机器学习/强化学习、深度学习算法、信息检索等方面的研发经验和基础；
5、精通python或Java， 熟悉常用数据结构；
6、有过问答系统、知识图谱、文本挖掘、推荐系统相关的研发经验者优先。
7、良好的沟通和团队协作能力，较强的动手与逻辑分析能力，对解决具有挑战性问题充满激情。","南京 - 雨花台区 - 南京市雨花台区软件大道180号大数据产业基地5栋
","平安科技
金融
不需要融资
2000人以上
http://tech.pingan.com/in..."
19,NLP工程师,贝壳CTO线招聘,25k-50k,/北京 /,经验5-10年 /,本科及以上 /,全职,"
餐饮打包，福利完善","
工作职责:
1.参与房产领域自然语言处理基础平台建设，为搜索、推荐、问答、知识图谱等应用提供基础技术输出。
2.参与房产领域智能问答系统研发工作，研究基于领域知识库和知识图谱的深度学习问答系统研发，打造智能的房产问答体系。
3.参与房产领域智能对话系统研发工作，包括自然语言理解、对话管理、对话生成等核心模块的研发，持续提升语义理解，多轮对话，文本生成技术等能力，打造对话即应用的下一代智能产品
任职资格:
1.自然语言处理/机器学习/计算机/数学 相关专业，硕士及以上学历，2年左右经验；
2.优秀的算法基础和编码能力，熟悉linux环境，精通c/c++以及python、shell等脚本语言；
3.在如下专业领域有丰富经验：分词、词性标注、新词发现、词义消歧、命名实体识别、句法分析、情感分析、主题模型、话题分析、事件发现、舆情分析、知识图谱，独立实现过复杂NLP系统；
4.有很强的分析和解决问题的能力，思路清晰，学习能力强，善于归纳、总结、推理。
5.抗压能力强，心里素质佳，有优秀的团队合作意识，良好的沟通能力以及团队协调能力。","北京 - 海淀区 - 西二旗 - 上地六街数字传媒大厦
","贝壳
房产家居
D轮及以上
2000人以上
http://www.ke.com"
