,职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
89,NLP算法工程师,OPPO智能产品招聘,25k-50k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
待遇好 平台大","
职位描述
1、负责参与OPPO语音助手系统聊天对话、智能搜索、个性化推荐等技术方向研发 
2. 负责对话任务文本特征提取、语义理解、详情提取、对话结果生成算法研究及实现 
3. 对话场景下的意图识别、智能搜索、个性化推荐算法研究及实现 
4. 用户理解，用户体验建模

任职要求
1．熟悉 Linux 开发环境，具有较强的编码能力，熟练使用Python 
2．熟悉海量数据处理及分布式系统（如Hadoop、Spark） 
3. 对常用的开源机器学习框架有实践经验（如tensorflow、mxnet、Caffe） 
4．有NLP、机器学习知识背景，熟悉深度神经网络模型（如DNN、RNN、LSTM）者优先 
5. 有搜索系统、聊天机器人相关实际工作经验者优先 
6．对数据敏感，具有优秀的团队合作意识及分析问题、解决问题能力 

具有以下条件者优先考虑: 
1. 在自然语言处理相关方向(序列标注、实体识别、语义理解、文章摘要等)有实际工作经验 
2. 有搜索系统、问答或聊天Chatbot等方向有实际工作经验","深圳 - 南山区 - 深圳南山后海
","OPPO
硬件
不需要融资
2000人以上
http://www.oppo.com"
90,NLP架构师,贝壳招聘,40k-70k,/北京 /,经验5-10年 /,本科及以上 /,全职,"
免费三餐,六险两金,行业翘首,大牛云集","
工作职责:
1.参与房产领域自然语言处理基础平台建设，为搜索、推荐、问答、知识图谱等应用提供基础技术输出。
2.参与房产领域智能问答系统研发工作，研究基于领域知识库和知识图谱的深度学习问答系统研发，打造智能的房产问答体系。
3.参与房产领域智能对话系统研发工作，包括自然语言理解、对话管理、对话生成等核心模块的研发，持续提升语义理解，多轮对话，文本生成技术等能力，打造对话即应用的下一代智能产品
任职资格:
1.自然语言处理/机器学习/计算机/数学 相关专业，硕士及以上学历，2年左右经验；
2.优秀的算法基础和编码能力，熟悉linux环境，精通c/c++以及python、shell等脚本语言；
3.在如下专业领域有丰富经验：分词、词性标注、新词发现、词义消歧、命名实体识别、句法分析、情感分析、主题模型、话题分析、事件发现、舆情分析、知识图谱，独立实现过复杂NLP系统；
4.有很强的分析和解决问题的能力，思路清晰，学习能力强，善于归纳、总结、推理。
5.抗压能力强，心里素质佳，有优秀的团队合作意识，良好的沟通能力以及团队协调能力。","北京 - 海淀区 - 西二旗 - 上地六街数字传媒大厦
","贝壳
房产家居
D轮及以上
2000人以上
http://www.ke.com"
91,nlp算法,泛微技术中心招聘,20k-35k,/上海 /,经验不限 /,硕士及以上 /,全职,"
上市公司,包三餐","

1、利用相关技术和算法，提供文本分析相关的基础方案与服务； 
2、针对海量文本内容进行中文分词、语义识别、自动聚类等文本挖掘工作； 
3、负责搭建相关的机器学习 & 大数据计算平台；
4、负责数据和业务的紧密集合。
任职要求：
1、熟练掌握自然语言处理NLP相关理论与技术方法；
2、熟练掌握使用java或python，数学正则，至少掌握一种脚本语言；
3、熟悉中英文分词、词性标注、实体识别、句法分析、自动文本分类，关键值提取等自然语言处理技术，熟悉语义分析方法和技术（相似度计算、本体理论、语义推理等）；
4、熟悉人机对话的前沿方向和研究方向；
5、熟悉了解人工智能、机器学习等领域的前沿方向与研究动向；
6、具备将机器学习与自然语言处理的理论转化为实践的能力；
7、具有相关项目研发经验者（项目主要参与人员）优先；
8、1年经验，硕士学历以上。","上海 - 闵行区 - 浦江 - 联航路1188弄浦江智谷33号楼
","泛微
移动互联网,企业服务
上市公司
2000人以上
http://www.weaver.com.cn"
92,资深自然语言处理（NLP）算法...,方付通AI研发部招聘,30k-60k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
技术大牛，落地项目","
岗位职责：
  1. 熟悉机器学习和自然语言处理技术, 并能应用相应的算法和理论研发特定场景信息抽取，知识图谱构建，问答系统，任务型聊天机器人等解决方案;
2. 负责开发和持续迭代特定场景下的自然语言处理系统和产品，提升效果和用户体验
3. 参与探索深度学习（Deep Learning）在自然语言处理以及领域知识图谱构建中的应用，实现切实有效的深度学习模型
4. 参与研究自然语言理解、机器阅读理解、文本分类、搜索问答等NLP关键前沿技术的研发工作

任职资格
  1. 计算机，数学，统计学等相关专业硕士以上学历。熟悉自然语言处理、机器学习、模式识别等常用算法，熟悉NLP领域当前热点和前沿技术，对NLP有完整的、系统的认识
2. 有3年以上NLP相关工作经验，有机器学习/数据挖掘/自然语言处理等方面的实际应用开发经验，包含但不仅限于以下方向：搜索，推荐，文本分类，信息抽取，知识图谱，聊天机器人
3. 熟悉常用的编程语言（如Python、Java等），有扎实的编程能力，有深度学习应用经验者优先
4. 优秀的逻辑推理，问题分析和实践动手能力，对挑战性问题充满激情
5. 主动性强，有很强的自我驱动力，责任心强，良好的团队合作精神，较强的沟通能力","上海 - 浦东新区 - 世纪公园 - 民生路1286号汇商大厦11、14、17楼
","方付通
移动互联网,金融
不需要融资
150-500人
http://www.f-road.com.cn"
93,NLP算法专家,太古代科技招聘,40k-80k,/北京 /,经验5-10年 /,硕士及以上 /,全职,"
福利待遇优厚！","
职位职责： 
1、构建基础NLP算法平台； 
2、对海量文本进行深度分析，抽取事件，情感分析，构建知识图谱； 
3、学习NLP领域的先进技术并开展相关研发工作。 

职位要求： 
1、计算机／数学／统计学／模式识别相关专业，硕士及以上学历； 
2、熟悉NLP和机器学习的理论基础，有海量数据挖掘、知识图谱研发经验优先； 
3、具有优秀的编程能力，精通PHP/Python/Golang以及常用脚本语言； 
4、在文本分析、词性标注、新词发现、词义消歧等领域有丰富经验优先； 
5、责任心强，积极主动，有良好的沟通能力和团队合作能力。
工作地址","北京 - 海淀区 - 北京大学 - 中关村
","太古代科技
区块链,人工智能
B轮
50-150人
https://www.lagou.com/gon..."
94,NLP算法工程师,长投学堂大数据招聘,15k-30k,/上海 /,经验1-3年 /,硕士及以上 /,全职,"
扁平化管理 带薪年假 季度团建 周末双休","
职位诱惑：
五险一金 年终奖 周末双休 朝九晚六
    
如果你选择加入我们，你将拥有的是：
五险一金年终奖自然不用说了嘛
每年多次周边团建；
不定期吃吃喝喝呦；
多种社团活动日哦；
更多第一时间理财资讯和分享；
一群可爱又逗比的同事与老板；
快速提升自我能力与大施拳脚的机会；
更多的赚钱方法；
还有怼天怼地怼老板哈。

岗位职责： 
1.负责自然语言处理相关产品和项目的技术方案设计、开发实现、效果评估和持续优化；
2.负责文本意图识别、智能搜索、问答、对话相关的算法与系统实现；
3.负责研究机器学习与深度学习在自然语言处理领域的端到端解决方案并落地。

任职要求：
1.统计学、数学、计算机硕士及以上学历，至少2年及以上自然语言处理相关项目开发经验；
2.有丰富的Python、C、C++编程经验，及扎实的算法与数据结构功底，优秀的机器学习基础，良好的数学和统计基础；
3.有良好的自然语言处理理论和方法基础，精通词法分析、句法分析、依存分析、文本分类聚类、信息检索、相似度计算等知识领域及其工程实现；
4.熟悉Tensorflow，Hadoop,Spark等，对机器学习和深度学习在NLP领域的应用有一定的经验和个人见解，能从业务场景中精确识别问题模式并应用相应的模型和算法来解决问题，并有能力建立合理的评价指标来持续优化；
5.有智能搜索、问答、多轮对话或知识图谱相关经验优先；
6.良好的理解与表达能力，优秀的英文阅读能力，优秀的团队合作和自我驱动能力。","上海 - 浦东新区 - 龙东大道3000号10号楼弘源科创大厦6F
","长投学堂
移动互联网
A轮
涌铧(A轮)
150-500人
http://www.ichangtou.com"
95,NLP算法工程师(J190530008),滴滴AI Labs招聘,20k-40k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
广阔平台、急速成长、诱人福利","
岗位职责
研究开发最新的机器学习算法并用于解决实际问题
构建NLP系统提升数据处理能力，进行实验，并改进产品
具有创造性思维能力，可以发现并解决新问题，从而发表论文或申请专利
岗位要求：
自然语言处理，机器学习，或相关领域博士或硕士学位
坚实的理论基础和NLP相关项目的实际动手能力
熟悉常用深度学习平台Tensorflow，Pytorch，或Caffe等
熟练掌握 Python 或 C++ 等编程语言","北京 - 海淀区 - 北京市海淀区东北旺西路8号数字山谷
","滴滴
汽车丨出行
不需要融资
2000人以上
http://www.didiglobal.com"
96,NLP自然语言处理算法工程师,金山办公软件大数据招聘,20k-40k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
免费三餐,免费健身房,六险一金,各种团建","
【职位描述】
* 负责用户模型构建、分词、词性分析、实体识别、新词发现，情感分析等NLP工作
* 结合NLP实现推荐、广告、搜索等相关服务
* 以NLP为基础结合数据挖掘，提升产品的用户体验，提升运营的效率、效果

【岗位要求】
* 国家统招本科以上学历（硕士以上尤佳），2年以上自然语言处理经验
* 扎实的编程基础，至少精通一种编程语言，如Java/Python/C/C++等
* 对自然语言处理相关的分词、词性标注、实体识别、文本分类等有深入的实践经验
* 熟悉深度学习（CNN,RNN,LSTM），理解常见机器学习算法（LR,DT,GBDT）的原理，熟练运用相关工具（LIBLINEAR，XGBoost，Word2Vec等）、框架（Tensorflow/Caffe等）解决实际问题
* 良好的数学基础，良好的英语阅读能力，强大的自学能力
* 有过搜索、推荐、CTR预估等工程实践（加分项）","北京 - 海淀区 - 清河 - 金山办公大厦
","金山办公软件
移动互联网
上市公司
2000人以上
http://www.kingsoft.com"
97,NLP算法工程师,字节跳动招聘,20k-40k,/北京 /,经验不限 /,本科及以上 /,全职,"
弹性工作，免费三餐，租房补贴，休闲下午茶","
职位职责：
1、构建字节跳动基础NLP算法平台；
2、对海量文本进行深度分析，抽取事件，情感分析，构建知识图谱；
3、学习NLP领域的先进技术并开展相关研发工作。

职位要求：
1、计算机／数学／统计学／模式识别相关专业，硕士及以上学历；
2、熟悉NLP和机器学习的理论基础，有海量数据挖掘、知识图谱研发经验优先；
3、具有优秀的编程能力，精通PHP/Python/Golang以及常用脚本语言；
4、在文本分析、词性标注、新词发现、词义消歧等领域有丰富经验优先；
5、责任心强，积极主动，有良好的沟通能力和团队合作能力。","北京 - 东城区 - 东安门大街55号王府世纪2层
","字节跳动
文娱丨内容
C轮
2000人以上
http://www.bytedance.com"
98,NLP算法工程师 (MJ000312),荔枝智能推荐部招聘,20k-40k,/北京 /,经验1-3年 /,本科及以上 /,全职,"
个人施展机会多","
岗位描述：
1、通过结构化或者半结构化的数据，以及结合数据挖掘的方法构建知识图谱；
2、通过知识图谱构建应用，包括声音实体的查询和推理等；
基本技能：
1、熟悉Linux开发环境，熟悉Python/C++语言，了解MySql或者NoSql数据库；
2、掌握自然语言处理、信息检索、深度学习理论，实现过相关算法或有相关应
用；
3、掌握Entity Linking, Relation Extraction以及图谱相关算法；
4、责任心强，积极主动，有良好的沟通能力和团队合作能力；
5、具有图谱构建，图谱上的应用等实际应用经验者优先；","北京 - 海淀区 - 上地 - 上地
","荔枝
社交
D轮及以上
兰馨亚洲；EMC基金(D轮及以上)，小米科技；顺为资本；经纬中国；晨兴资本(C轮)
500-2000人
http://www.lizhi.fm"
99,NLP算法工程师,北京新氧科技有限公司招聘,20k-40k,/北京 /,经验5-10年 /,本科及以上 /,全职,"
五险一金，免费班车，周末双休","
工作职责：
运用深度学习(DeepLearning)以及自然语言处理（NLP）技术，挖掘互联网非结构化信息，实现海量数据的自动学习与理解；
任职要求: 
1. 熟悉自然语言处理领域的基本概念和问题，包括：分词、词性标注、命名实体识别、语法分析、语言模型、文档分类等； 
2. 熟悉自然语言处理的常用技术和算法，包括：HMM、CRF、SVM等； 
3. 熟悉深度学习技术在NLP领域的理论及进展，包括：RNN, Seq2Seq, Attention等基本算法； 
4. 实际从事过文本处理相关的技术工作，如Query解析、文本检索、对话聊天系统、知识问答系统、机器翻译、情感分析者更佳； 从事过话题分析、多轮次自然语言对话的候选者最佳； 
5. 精通C/C++/python编程语言，熟练使用TensorFlow/PyTorch/Caffe等深度学习框架， 熟悉面向对象编程；","北京 - 朝阳区 - 望京 - 融新科技中心E座
","北京新氧科技有限公司
移动互联网,消费生活
上市公司
兰馨亚洲投资集团、经纬中国、挚信资本、Apax Partners、鼎晖投资(D轮及以上)，安佰深股权投资集团、鼎晖投资联合投资、经纬中国、挚信资本(D轮及以上)
500-2000人
http://www.soyoung.com"
100,NLP高级专家-智能语音应用方向,广发银行信用卡中心招聘,35k-45k,/佛山 /,经验5-10年 /,本科及以上 /,全职,"
金融科技, 发展空间， NLP应用场景","
职责描述：
根据公司发展战略，指导自然语言处理及大数据平台运用，实现围绕体验痛点挖掘，营销挖掘，质检、合规监控的运作模式，提升客户声音价值；
统筹数据分析和模型算法整体规划，提供算法支持，为服务，产品制定有效方案，实现数字化运营；
与科技开发团队进行模型需求沟通，推动自然语言等模型项目上线应用；


任职要求：
1.计算机，数学，统计学等相关专业，本科以上（985/211院校优先考虑），2年以上自然语言处理，数据挖掘，模型开发相关经验，
2.具备利用数据分析解决业务问题的能力；
3.有机器学习，熟悉理解随机森林，GBDT, HMM等基础算法建模/自然语言处理等方面应用经验；
4.有语音机器人，智能质检项目NLP应用经验优先；","佛山 - 南海区 - 桂城 - 千灯湖广发金融中心
","广发银行信用卡中心
金融
不需要融资
2000人以上
http://www.cgbchina.com.cn/"
101,NLP算法专家,汽车之家招聘,40k-60k,/北京 /,经验5-10年 /,本科及以上 /,全职,"
广告公司工作经验","
岗位职责：

1.负责基础自然语言处理技术，包括文本分类、句法分析、自动摘要、情感分析和语义理解等；
2.负责机器翻译，对话系统，知识图谱等技术研发，以及新技术和方向的研究 ；


任职要求：

1.计算机或相关专业，扎实的C++/Java/Python开发功底；
2.五年以上NLP领域相关经验。精通NLP领域主要算法和前沿技术，熟练掌握至少一种深度学习框架(Pytorch,Tensorflow等)；
3.有机器翻译，对话系统等实际产品开发经验；
4.良好的沟通能力和组织协调能力，有一定创新意识；","北京 - 海淀区 - 中关村 - 丹棱街3号中国电子大厦
","汽车之家
汽车丨出行
上市公司
2000人以上
http://www.autohome.com.cn"
102,资深NLP算法工程师,网易招聘,25k-50k,/杭州 /,经验3-5年 /,本科及以上 /,全职,"
大平台 福利多","
岗位描述：
1、负责NLP相关算法工作，研究Deep Learning最前沿算法及框架；
2、参与搭建智慧选品，正品质疑，滞销品识别等智能系统，提升业务效率；
3、从事创新和突破性工作，通过NLP技术提升考拉供应链商品管理效率。
岗位要求：
1、熟悉分词、词性标注、命名实体识别、依存句法分析、文本分类、聚类相关算法；
2、对Deep Learning在NLP领域中的应用有相应理解和实践更佳；
3、具有比较强的编程能力，熟练掌握（JAVA/PYTHON/SHELL），熟悉hadoop、spark框架者优先","杭州 - 滨江区 - 长河 - 网商路599号
","网易
电商
上市公司
2000人以上
http://hr.163.com/"
103,NLP算法实习生,木槿科技数据招聘,10k-18k,/广州 /,经验不限 /,硕士及以上 /,全职,"
发展前景好、扁平化、晋升空间大","
岗位描述：
NLP技术在自动问答、人机对话、语义理解等方向上的应用研究；
数据标注监管，基于业务需求对标注人员的标注进度和准确性进行把控。
NLP相关算法开发以及维护和优化现有方案
  任职要求：
熟悉NLP技术在中文处理中的基本概念和问题，包括：词法分析、句法分析以及语义分析；
熟悉NLP的常用技术和算法，包括：HMM、CRF、SVM、N-Gram等；
熟悉深度学习技术在NLP领域的理论及进展，包括：RNN、CNN、Transformer、Bert、Seq2Seq等；
熟练掌握C/C++，Java，Python等编程语言的一种或多种，具备良好的编码能力；
熟练掌握Tensorflow、Keras、Pytorch等深度学习框架的一种或多种；
熟悉Linux开发环境

公司福利：
1、入职即购买社保、公积金
2、入职即享有每月举办生日会。
3、入职即享有每月策划团建活动  
(各种旅游，各种玩，让我们的友谊再升华一下)
4、入职即享有下午茶
（可以趁这个机会放松一下一整天紧绑的状态哦）
5、入职即享有培训、技术交流会，行业大咖交流分享
（各部门的轮流培训，能让您更加了解公司业务及公司现状，除此之外还能提升个人技能哦）
6、入职即享有节日礼金、开年利是
7、享有绩效考核年终奖1-3个月，每年享有1-2次调薪机会
8、入职即享有年终大型年会，抽取高额奖品机会。
9、入职即享有良好的上升空间，完善的晋升通道。
10、还有各种各样的福利，例如：餐补，打车报销等...

创始团队来自国内外名校，拥有多年丰富工作经验；股东方资金实力雄厚，无需融资；业内资源丰富，有良好的金融行业合作关系；公司80%以上为技术人员，氛围和谐简单~

或许你没有听到过我们，那是因为我们确实很低调，但低调不代表我们没有实力。作为创业公司的我们，拥有多家股东方的支持，有着丰富的业内资源，还有一群有爱团结的小伙伴，正在茁壮成长的我们，希望优秀的你能够早日加入，和我们一起奋勇前进~

AI金融科技行业，萌妹纸小鲜肉组合，8090活力团队，值得您加入！","广州 - 天河区 - 珠江新城 - 华强路9号保利克洛维1期中盈大厦1908-1909
","木槿科技
数据服务
不需要融资
150-500人
http://www.mujinkeji.com"
104,NLP算法工程师,vivo互联网基础平台部招聘,25k-50k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
工作氛围佳,千万日活,平台好","
岗位职责：
1、负责使用自然语言处理, 文本挖掘和机器学习技术，支撑其它机器学习相关业务.
2、负责语义搜索, 聊天机器人, 知识图谱, 新词识别等业务.
在大数据环境下利用自然语言处理技术和机器学习算法解决实际问题；
3、追踪算法前沿技术，结合业务需求，探索将前沿的算法技术应用于实际业务。

岗位要求:
1、扎实的算法基础：熟悉算法相关理论，算法原理和机器学习基本理论，具备良好的数学基础 ；
2、精通自然语言处理相关领域的知识与技能，熟悉常见的NLP领域算法 ；
3、对自然语言处理相关的分类和聚类、实体识别、句法分析、情感分析和观点挖掘、语义分析等有实践经验；
4、熟悉Java，Python，C++等一种或一种以上编程语言；
5、较好的主动性和分享精神，良好的沟通和协作能力；
6、相关专业本科及以上学历，3年以上相关领域实际工作经验；
有基于多语言的自然语言处理经验优先。","深圳 - 福田区 - 上梅林 - 上梅林步步高大楼（梅林天虹旁）
","vivo
硬件
未融资
2000人以上
http://hr.vivo.com.cn/"
105,NLP算法工程师--大数据行业,智慧星光技术部门招聘,20k-40k,/北京 /,经验不限 /,学历不限 /,全职,"
行业火,环境好,五险一金,计划上市","
1、负责中文分词、词性标注、海量数据处理与挖掘、知识库建设等研发工作；
2、负责分词、词性标注、句法分析、命名实体识别等NLP研发工作；
3、负责语义解析、语言模型、文本结构化、意图识别、情感分析等研发工作；
4、负责NLP领域前沿算法及框架追踪，搭建Deep Learning for NLP平台；
5、其中熟悉两个方向或以上人员优先。
任职要求：
1、3年以上相关工作经验，精通NLP相关编程语言两种以上, 并至少精通一种脚本语言；
2、熟悉NLP领域一些开源的算法库或工具，比如：stanfordNLP，NLTK，Apache OpenNLP，Kaldi, HTK/HTS，Hadoop, Mahout, word2vec等；
3、对自然语言处理、人工智能等具有浓厚的兴趣；
4、熟悉基本机器学习算法；
5、良好的团队合作精神，较强的沟通能力；
6、精通编程Java，Python，C语言中的两种以上。","北京 - 海淀区 - 中关村辉煌时代
","智慧星光
数据服务
不需要融资
500-2000人
http://www.istarshine.com"
106,NLP算法专家,Opera招聘,30k-40k,/北京 /,经验3-5年 /,硕士及以上 /,全职,"
上市公司，弹性工作,精英团队,千万级用户","
岗位职责:
1、利用自然语言处理技术对海量数据进行深度理解；
2、对CNN/RNN等算法进行研究和应用；
3、持续不断的优化模型质量；
4、保证服务的可用性和高并发性。

任职资格:
1、1年以上自然语言处理相关的工作经验；
2、具有良好的代码能力，如Python/Java/C++ ；
3、善于沟通和交流 ，具有优秀的团队合作意识。
4、985/211院校，硕士及以上学历，计算机、软件工程等相关专业。","北京 - 东城区 - 北京市东城区西总布胡同46号明阳国际中心B座
","Opera
移动互联网
上市公司
500-2000人
http://www.opera.com"
107,广告算法/NLP算法工程师（专家）,趣头条算法中心招聘,30k-60k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
团队简单,福利好,领导好","

需求方向：广告算法，NLP方向工程师，专家级别
岗位职责：
1. 负责用户画像，推荐算法和机器学习平台的搭建;
2. 改进产品的资讯内容推荐系统，优化用户的阅读体验;
岗位要求
1、一年以上互联网工作经验，对自然语言处理、图像语音、广告、推荐系统等任何一个领域有实践经验；
2、对机器学习系统有一定了解；熟悉最优化的基础理论，能够将业务问题转化成相关的优化问题并求解，深刻理解并独立实现过相关算法（回归、决策树、分类问题、深度神经网络、图模型，概率统计，最优化方法等）
3、熟悉常用数据结构，具备扎实的算法基本功，熟悉C++、Python、go等编程语言；编程能力强，代码爱好者加分。
4、良好的业务理解能力和逻辑思维能力，能够从海量数据中发现关键特征，出色的问题分析及解决能力
工作地址","北京 - 海淀区 - 中关村 - 大恒科技大厦北座9层
","趣头条
文娱丨内容
上市公司
500-2000人
http://www.lagou.com/gong..."
108,NLP资深算法工程师,罗辑思维招聘,30k-60k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
创新有挑战,大咖云集,福利好,氛围好","
岗位职责：
基于得到业务场景，提供人工智能解决方案；
用自然语言处理技术和语义分析方法实现相关模型的建立与实践；
构建得到基础NLP Service，赋能各项业务；

岗位要求：
扎实的算法基础，精通中文分词、命名实体识别等相关NLP算法和模型；
熟悉Java/Python等编程语言；
有Tensorflow,Pytorch等深度学习框架与自然语言处理结合实际项目经验者优先；
熟悉面向文本的CNN、RNN、LSTM、Sequence to sequence、GAN等模型者优先；
了解Attention、Memory机制在Deep Learning中的实际应用者优先；
熟悉Word2Vec、Doc2Vec等embedding模型及应用者优先；
在知识图谱、智能问答、搜索引擎等领域有实际项目经验者优先","北京 - 朝阳区 - 大望路 - 华贸商务楼
","罗辑思维
移动互联网,文娱丨内容
D轮及以上
150-500人
https://www.igetget.com"
109,NLP算法工程师,贝壳招聘,30k-50k,/北京 /,经验3-5年 /,硕士及以上 /,全职,"
免费3餐，AI落地到产业互联网的好机会","
岗位职责：
1.参与房产领域自然语言处理基础平台建设，为搜索、推荐、问答、知识图谱等应用提供基础技术输出。
2.参与房产领域智能问答系统研发工作，研究基于领域知识库和知识图谱的深度学习问答系统研发，打造智能的房产问答体系。
3.参与房产领域智能对话系统研发工作，包括自然语言理解、对话管理、对话生成等核心模块的研发，持续提升语义理解，多轮对话，文本生成技术等能力，打造对话即应用的下一代智能产品

职位要求：
1.自然语言处理/机器学习/计算机/数学 相关专业，4年以上相关工作经验；
2.优秀的算法基础和编码能力，熟悉linux环境，精通c/c++以及python、shell等脚本语言；
3.在如下专业领域有丰富经验：分词、词性标注、新词发现、词义消歧、命名实体识别、句法分析、情感分析、主题模型、话题分析、事件发现、舆情分析、知识图谱，独立实现过复杂NLP系统；
4.有很强的分析和解决问题的能力，思路清晰，学习能力强，善于归纳、总结、推理。
5.抗压能力强，心里素质佳，有优秀的团队合作意识，良好的沟通能力以及团队协调能力。","北京 - 海淀区 - 上地 - 开拓路11号福道大厦
","贝壳
房产家居
D轮及以上
2000人以上
http://www.ke.com"
110,NLP算法工程师,Gridsum 国双招聘,17k-27k,/上海 /,经验1-3年 /,硕士及以上 /,全职,"
上市大数据,年终奖金，技术牛人多","
岗位职责：
司法领域的自然语言处理，包括但不限于：
1. QA：为法院提供智能客服、法律知识智能问答
2. 类似案件推送：在海量判决书中检索类似的案件

任职要求：
 1. 计算机、数学或相关专业硕士及以上学历
 2. 熟练掌握python/java至少一门编程语言，熟悉常用数据结构和算法
 3. 熟悉机器学习、自然语言处理等相关技术，并具备实际项目经验
 4. 使用过tensorflow等软件包者优先，有深度学习等相关经验者优先
 5. 能独立阅读英文paper，有NLP领域高水平paper者优先","上海 - 静安区 - 静安寺 - 上海市静安区南京西路1468号中欣大厦 35、40层
","Gridsum 国双
数据服务,企业服务
上市公司
500-2000人
http://www.gridsum.com"
111,NLP算法工程师,奇虎360金融招聘,30k-60k,/北京 /,经验3-5年 /,学历不限 /,全职,"
创新业务,优秀团队,数据量级","

1. 负责智能催收、智能客服、智能质检等项目NLP算法模型新馆工作；
2.参与基础数据收集整理及特征工程建设。
  任职资格：
1.计算机，数学，统计学等相关专业硕士以上学历，3年以上NLP工作经验；
2.具有扎实的数据结构及算法基础，有机器学习/数据挖掘/自然语言处理等方面的实际应用开发经验；
3.有深度学习应用经验者优先。","北京 - 朝阳区 - 酒仙桥 - 北京市朝阳区酒仙桥路6号院（电子城•国际电子总部）2号楼B座
","奇虎360金融
金融
上市公司
500-2000人
http://jinrong.360.cn/"
112,自然语言处理算法工程师,深度赋智招聘,25k-50k,/厦门 /,经验1-3年 /,硕士及以上 /,全职,"
大牛云集，高速发展，高额年终，弹性工作","
**团队背景**

1. 团队主要由来自**腾讯、百度、华为**等公司的**资深研究员、架构师**构成，拥有世界尖端的NLP与信息分发的经验；
2. 团队成员来自于**985/211院校、顶级海外院校**，包括**CMU、牛津、帝国理工、UCL、港大、港中文、港科、北大、厦大**等院校，水平杰出；
3. 目前方向包括**NLP、推荐、搜索、知识图谱、对话、画像、AI平台、AutoML**等业界核心方向；
4. 工业、学术上我们会要求大家保持敏捷，一方面要在工业上做到业界顶尖水准；另一方面要在学术上对SotA有所追求，我们会有定期的工业、学术的文章研讨，一同学习进步；
5. 目前团队刚刚组建，现在加入可以拥有非常珍贵的、一个顶级AI公司从零开始的经历，同时也可以获得非常珍贵的和各路牛人近距离的交流机会。

**岗位描述**

1. 负责文本信息的内容理解，包括但不限于文章主题分类、关键词提取、质量分级、语义理解、意图识别、观点分析、slot-filling等；

**岗位要求**

1. 计算机、智能、数学或相关专业硕士以上学历；
2. 熟练掌握C/C++和Python语言编程，熟悉linux开发环境，有扎实的数据结构和算法设计功底；
3. 熟练掌握NLP基础理论和算法，在一个或多个领域（如文本分类、语义理解、知识图谱构建、篇章理解、情感分析、自然语言生成等）有2年以上实际工作经验；
4. 有优秀的逻辑思维能力和数据分析能力，善于分析和解决问题；良好的沟通能力与团队协作能力；
5. 熟练掌握机器学习、深度学习的基础理论和方法，并在自然语言处理任务中有实际应用经验者优先；
6. 熟练使用一种或几种深度学习框架（如tensorflow、caffe、mxnet、pytorch等），或者熟悉spark、hadoop分布式计算编程者优先。","厦门 - 思明区 - 厦门市思明区曾厝垵 软件园1期创新大厦B区301
","深度赋智
人工智能
未融资
15-50人
http://www.fuzhi.ai"
113,NLP算法工程师,广州思迈特招聘,20k-30k,/广州 /,经验1-3年 /,硕士及以上 /,全职,"
六险一金 发展空间大","
职责：
1. 开发机器学习、自然语言处理的框架、模型与服务，对于需求有可扩展性；
2. 根据产品需求的业务逻辑深度定制自然语言处理的框架、逻辑、技能；
3. 用可衡量的指标评价和提高语言理解模型的准确度，并能以此改善实际的用户体验。

要求：
1. 硕士及以上学历，计算机、软件工程相关专业；
2. 具有2年及以上自然语言处理（NLP）项目开发经验，并对运用经典NLP、基于统计、机器学习、深度学习等方法实现自然语言理解有足够的知识；
3. 有将自然语言理解与后端业务逻辑对接整合的开发经验，对自然语言助手如何通过交互帮助用户完成任务有深入研究，能独立完成模块化的开发任务；
4. 熟悉自然语言处理使用的统计模型、机器学习模型及深度学习模型的基本概念及原理，如CRF、SVM、LSTM、BERT等，并有实际项目使用的经验；
5. 深入理解自然语言处理的一个或多个领域，如意图提取、领域分类、命名实体识别、词性标注、情感分析、语言识别等；
6. 熟练使用Java、Python等开发语言，熟悉TensorFlow、PyTorch或Keras等至少一个机器学习、深度学习工具；
7. 了解BI或报表工具产品，对NLP结合BI工具有一定的想法","广州 - 天河区 - 高普路136号华天时代大厦三楼305
","广州思迈特
企业服务,数据服务
A轮
150-500人
http://www.smartbi.com.cn"
